Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm Male,-0.005097533,0.002878369,-0.08201738,0.03532843,0.000332799,0.000339215,-0.000476272,0.000401603
Cold All,0.004532736,0.003508066,0.03926043,0.02506662,4.4516E-05,0.000442995,5.17082E-05,0.00038675
Cold Female,0.011654647,0.004473712,0.06535206,0.03196908,0.000213391,0.000564303,0.000546553,0.000494118
Cold Male,-0.001541899,0.003775662,0.01689544,0.02699794,-0.000100952,0.000477606,-0.00036915,0.000415775
Age 0-10 All,0.001701645,0.004106893,-0.004555174,0.038708916,0.000701828,0.000492163,-0.0001188,0.00052028
Age 0-10 Female,0.005694467,0.005693667,0.06356257,0.05339466,0.000225181,0.000682904,0.000405431,0.000721047
Age 0-10 Male,-0.001200123,0.005013763,-0.05418387,0.04748456,0.001044084,0.000600486,-0.000498081,0.000635327
Age 11-60 All,-0.002144555,0.002217091,-0.004131428,0.020453337,0.000102502,0.000265997,-0.000286623,0.000278211
Age 11-60 Female,0.000571837,0.002959082,0.01505052,0.02712251,0.000169743,0.000352912,-4.77965E-05,0.000370708
Age 11-60 Male,-0.004034283,0.002489745,-0.0178923,0.02309155,5.75224E-05,0.000300007,-0.000452328,0.000312832
Age 60+All,0.002395089,0.003430369,0.007961821,0.031527575,0.000579858,0.000409551,-3.66104E-05,0.000429709
Age 60+ Female,0.004901315,0.004082414,0.007404428,0.037518225,0.000757336,0.00048834,1.05898E-06,0.000511113
Age 60+ Male,-0.001450333,0.004739231,0.008574948,0.043532999,0.000309504,0.000564417,-9.50821E-05,0.000594273
All: LAG 8,-0.003142034,0.002067402,-0.01879175,0.0192342,2.02172E-07,0.000247268,-0.000462416,0.00025962
Female,0.000641562,0.002576667,0.01045619,0.02384022,-1.43417E-06,0.000307247,-0.000155186,0.000323417
Male,-0.006229405,0.002296674,-0.04323362,0.02146358,3.47869E-06,0.000275499,-0.000713451,0.000288647
