Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 All,-0.000113,0.011232,0.074928,0.103242,-0.001069,0.001313,0.000574,0.001414
Age 0-10 Female,-0.004017,0.016408,-0.040766,0.150903,-0.002116,0.001909,0.000442,0.002083
Age 0-10 Male,0.003056,0.014690,0.169931,0.134974,-0.000205,0.001725,0.000666,0.001837
Age 11-60 All,-0.008243,0.004118,-0.075184,0.038138,-0.000107,0.000490,-0.001033,0.000518
Age 11-60 Female,-0.011459,0.005740,-0.095188,0.053237,-0.000147,0.000682,-0.001117,0.000725
Age 11-60 Male,-0.005376,0.005441,-0.057317,0.050338,-0.000068,0.000648,-0.000969,0.000681
Age 60+All,-0.000359,0.006405,-0.051443,0.059550,-0.000239,0.000764,0.000582,0.000801
Age 60+ Female,-0.005200,0.008542,-0.037161,0.079274,-0.000943,0.001020,0.000109,0.001073
Age 60+ Male,0.005268,0.009089,-0.067506,0.084699,0.000572,0.001084,0.001122,0.001131
All: LAG 9,-0.003953,0.003532,-0.052160,0.032518,-0.000144,0.000419,-0.000556,0.000443
Female,-0.010475,0.004838,-0.055846,0.044567,-0.000612,0.000572,-0.001021,0.000610
Male,0.002202,0.004616,-0.048841,0.042515,0.000303,0.000549,-0.000129,0.000577
Warm All,-0.003883,0.004093,-0.046927,0.037717,-0.000142,0.000519,-0.000668,0.000509
Warm Female,-0.007865,0.005210,-0.026082,0.047977,-0.000773,0.000660,-0.000734,0.000650
Warm Male,-0.000190,0.004897,-0.066377,0.045173,0.000448,0.000622,-0.000612,0.000607
Cold All,-0.005578,0.004322,-0.074213,0.039615,-0.000145,0.000462,-0.000682,0.000560
Cold Female,-0.016280,0.005574,-0.114160,0.051245,-0.000385,0.000596,-0.001826,0.000726
Cold Male,0.004802,0.005497,-0.035885,0.050295,0.000093,0.000589,0.000401,0.000709
Age 0-10 All,0.000060,0.011281,0.017855,0.104061,-0.000543,0.001322,-0.000325,0.001428
Age 0-10 Female,-0.008206,0.016405,0.095652,0.151813,-0.002243,0.001914,-0.001282,0.002083
Age 0-10 Male,0.006876,0.014809,-0.046501,0.136295,0.000906,0.001743,0.000447,0.001871
Age 11-60 All,-0.009489,0.004133,-0.100453,0.038026,-0.000259,0.000491,-0.001130,0.000519
Age 11-60 Female,-0.016048,0.005760,-0.115353,0.053058,-0.000528,0.000683,-0.001461,0.000726
Age 11-60 Male,-0.003610,0.005472,-0.087179,0.050316,-0.000015,0.000650,-0.000841,0.000685
Age 60+All,0.009333,0.006438,0.052902,0.059385,0.000300,0.000765,0.000870,0.000803
Age 60+ Female,0.001823,0.008605,0.041575,0.079118,-0.000338,0.001017,0.000063,0.001082
Age 60+ Male,0.017698,0.009097,0.064790,0.084245,0.001039,0.001086,0.001738,0.001126
All: LAG 10,-0.001937,0.003553,-0.038427,0.032808,-0.000041,0.000421,-0.000527,0.000446
Female,-0.002391,0.004867,-0.048644,0.044862,0.000255,0.000575,-0.000447,0.000613
Male,-0.001503,0.004639,-0.028495,0.042926,-0.000326,0.000551,-0.000603,0.000581
Warm All,-0.003897,0.004128,-0.045881,0.038211,-0.000101,0.000522,-0.000765,0.000514
Warm Female,-0.003150,0.005256,-0.032848,0.048433,-0.000021,0.000663,-0.000390,0.000656
Warm Male,-0.004624,0.004930,-0.057996,0.045844,-0.000182,0.000624,-0.001118,0.000613
Cold All,0.000008,0.004331,-0.029667,0.039669,0.000064,0.000465,-0.000298,0.000561
Cold Female,-0.001881,0.005587,-0.075500,0.051314,0.000706,0.000598,-0.000650,0.000726
Cold Male,0.001845,0.005507,0.014404,0.050310,-0.000561,0.000592,0.000036,0.000712
Age 0-10 All,0.014697,0.011262,0.063293,0.104956,-0.000081,0.001329,0.000853,0.001412
Age 0-10 Female,-0.000107,0.016492,-0.094002,0.154178,0.000378,0.001924,-0.001692,0.002075
Age 0-10 Male,0.026664,0.014692,0.189386,0.136553,-0.000475,0.001751,0.002892,0.001835
Age 11-60 All,-0.004883,0.004160,-0.066857,0.038393,-0.000205,0.000494,-0.000681,0.000522
Age 11-60 Female,-0.003183,0.005799,-0.054247,0.053406,0.000137,0.000687,-0.000199,0.000729
Age 11-60 Male,-0.006416,0.005498,-0.078117,0.050856,-0.000516,0.000653,-0.001113,0.000689
Age 60+All,0.000227,0.006481,0.002533,0.059771,0.000408,0.000767,-0.000593,0.000814
Age 60+ Female,-0.001256,0.008650,-0.024254,0.079595,0.000499,0.001022,-0.000702,0.001091
Age 60+ Male,0.001926,0.009172,0.033567,0.084796,0.000293,0.001088,-0.000484,0.001146
All: LAG 11,-0.002816,0.003553,-0.051207,0.033130,0.000571,0.000419,-0.000846,0.000446
Female,0.001136,0.004862,-0.040285,0.045274,0.001269,0.000572,-0.000344,0.000611
Male,-0.006523,0.004644,-0.061311,0.043387,-0.000095,0.000549,-0.001314,0.000582
Warm All,-0.000959,0.004145,-0.032592,0.038758,0.000821,0.000520,-0.000782,0.000515
