Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Cold Male,0.023680,0.008533,0.189148,0.076012,0.001009,0.000921,0.003015,0.001084
Age 0-10 All,-0.023315,0.027804,-0.154478,0.251729,0.001215,0.003214,0.000589,0.003534
Age 0-10 Female,-0.072791,0.037952,-0.618776,0.355918,0.002960,0.004295,-0.004854,0.004848
Age 0-10 Male,0.019281,0.036075,0.183346,0.317016,-0.000169,0.004245,0.005043,0.004569
Age 11-60 All,0.006418,0.006169,0.069966,0.055663,-0.000259,0.000738,0.000891,0.000768
Age 11-60 Female,0.009707,0.007853,0.060150,0.070723,-0.000183,0.000942,0.001039,0.000978
Age 11-60 Male,0.001110,0.009656,0.086215,0.087424,-0.000371,0.001149,0.000656,0.001203
Age 60+All,0.013057,0.009103,0.150303,0.081593,0.000253,0.001100,0.001861,0.001129
Age 60+ Female,0.014486,0.011950,0.036893,0.106777,0.000905,0.001450,0.001884,0.001481
Age 60+ Male,0.011022,0.013529,0.306049,0.121778,-0.000634,0.001626,0.001818,0.001678
All: LAG 9,0.003812,0.005354,0.046896,0.047842,-0.000769,0.000638,0.000900,0.000666
Female,0.008860,0.006700,-0.014356,0.059973,-0.000077,0.000801,0.001146,0.000834
Male,-0.003763,0.007981,0.137113,0.071107,-0.001781,0.000945,0.000529,0.000992
Warm All,0.000737,0.005739,0.082467,0.051122,-0.002231,0.000734,0.000687,0.000709
Warm Female,0.007701,0.006928,0.009858,0.061804,-0.000782,0.000890,0.001042,0.000856
Warm Male,-0.010015,0.008217,0.193634,0.072975,-0.004437,0.001045,0.000147,0.001014
Cold All,0.007413,0.006059,-0.024716,0.054124,0.000729,0.000652,0.000963,0.000774
Cold Female,0.009480,0.007424,-0.063999,0.066436,0.000580,0.000799,0.001099,0.000951
Cold Male,0.004446,0.008564,0.029917,0.076292,0.000942,0.000920,0.000773,0.001091
Age 0-10 All,0.024157,0.028086,0.263345,0.251197,-0.000262,0.003298,0.004232,0.003523
Age 0-10 Female,-0.002256,0.038261,-0.063644,0.355810,0.001444,0.004433,0.000399,0.004790
Age 0-10 Male,0.047547,0.036480,0.506638,0.316356,-0.001786,0.004333,0.007683,0.004581
Age 11-60 All,0.003350,0.006212,0.000469,0.055660,-0.000428,0.000739,0.000286,0.000775
Age 11-60 Female,0.007653,0.007893,-0.064477,0.070780,0.000290,0.000942,0.000562,0.000986
Age 11-60 Male,-0.003598,0.009748,0.105454,0.087217,-0.001575,0.001153,-0.000153,0.001214
Age 60+All,0.002909,0.009193,0.126200,0.081621,-0.001574,0.001099,0.001921,0.001135
Age 60+ Female,0.012740,0.012065,0.105720,0.107156,-0.001073,0.001450,0.002601,0.001491
