G40-G47,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Cold Female,0.028063713,0.008334022,0.182559473,0.060930344,-0.000137778,0.001040469,0.002631511,0.000923265
Cold Male,-0.004996103,0.010684396,-0.11103472,0.07860058,0.001426509,0.001322223,0.000444353,0.001185011
Age 0-10 All,0.001119299,0.030511837,0.1810401,0.2787576,0.001530567,0.00356744,0.000210944,0.003840913
Age 0-10 Female,-0.074682,0.04116364,-0.4391633,0.3905346,2.49E-05,0.004754866,-0.011076383,0.005237288
Age 0-10 Male,0.06382849,0.03875282,0.63438891,0.34326499,0.002964789,0.004573801,0.009499996,0.004853846
Age 11-60 All,0.020006207,0.007437115,0.15879183,0.06826465,0.000365952,0.000885611,0.00280926,0.000927577
Age 11-60 Female,0.029868364,0.009250659,0.275137554,0.084422069,0.000795629,0.001105162,0.00387008,0.001152
Age 11-60 Male,0.002734863,0.012103551,-0.05060517,0.11225232,-0.000377351,0.001432596,0.000939823,0.00151506
Age 60+All,0.01072772,0.01207767,-0.004405929,0.111032659,0.001040702,0.001422948,0.001254307,0.001517202
Age 60+ Female,0.01164794,0.01583171,0.09481854,0.14623596,-0.000854306,0.001869694,0.000810322,0.001984677
Age 60+ Male,0.009780577,0.018284885,-0.1302699,0.1670205,0.003560982,0.002146578,0.001885269,0.002304501
All: LAG 8,0.007669436,0.006386557,0.07670013,0.05919123,0.000687572,0.000754023,0.001085084,0.000800405
Female,0.013140073,0.007901099,0.07411184,0.07311929,0.001213049,0.000934613,0.001502736,0.000989985
Male,-0.000834525,0.010013589,0.08117956,0.09303848,-0.000119122,0.001178743,0.00043537,0.001255865
Warm All,0.005701259,0.006161173,0.16197015,0.07580532,0.000425399,0.000706937,0.00016843,0.000867955
Warm Female,0.010679886,0.007566972,0.1506363,0.09284535,0.000536727,0.000870634,0.000784017,0.001065563
Warm Male,-0.002092408,0.009534745,0.1789998,0.1177139,0.000248381,0.0010896,-0.000801148,0.001344236
Cold All,0.014436772,0.006629559,0.04091581,0.04932194,0.001072223,0.000828692,0.001788104,0.000735951
Cold Female,0.020862816,0.008282704,0.04463294,0.06154844,0.002019771,0.001036452,0.002103639,0.000919375
Cold Male,0.004644177,0.01059302,0.0361561,0.07905527,-0.000375116,0.001321091,0.001314136,0.001176688
Age 0-10 All,-0.01729663,0.0306493,-0.07702424,0.28401324,0.004166969,0.003538312,0.001698312,0.003904463
Age 0-10 Female,-0.08664061,0.04151408,-0.73814265,0.40067283,0.007932884,0.004631079,-0.009039613,0.005332564
Age 0-10 Male,0.03996222,0.03887375,0.3839356,0.3481007,0.000994499,0.004615631,0.01030824,0.004933281
Age 11-60 All,0.009000921,0.007457982,0.08495491,0.06912449,0.000399148,0.00088281,0.001140751,0.000932416
Age 11-60 Female,0.018870741,0.009301231,0.13016608,0.08598182,0.001075101,0.001103624,0.002106573,0.001163073
Age 11-60 Male,-0.00798023,0.01206623,0.006902278,0.112438673,-0.000747187,0.001422854,-0.000501901,0.001508889
Age 60+All,0.007637,0.01211316,0.07495412,0.11240413,0.000959233,0.00142492,0.000832989,0.001525243
Age 60+ Female,0.007073949,0.015938576,-0.01169252,0.14773318,0.000760318,0.00188165,0.00078704,0.002004145
Age 60+ Male,0.008291137,0.01823013,0.1906123,0.1693392,0.001158349,0.00213453,0.000894703,0.002299956
All: LAG 9,0.006123506,0.006418779,0.02188775,0.05936205,0.000161411,0.000757082,0.001156094,0.000802822
Female,0.016374788,0.007923259,0.03781485,0.07346485,0.000558165,0.00093837,0.00222069,0.000990784
Male,-0.009918653,0.010088802,-0.003103918,0.092991825,-0.000442151,0.001182952,-0.000501213,0.001262845
Warm All,0.008043291,0.006218208,0.06785875,0.07679962,0.000495133,0.000713975,0.001070796,0.000870747
Warm Female,0.012383815,0.007619017,0.0699747,0.09419239,0.000895504,0.000877583,0.001145195,0.00106539
Warm Male,0.001359916,0.009641384,0.06409027,0.11866595,-0.0001031,0.001101396,0.000984741,0.001353754
Cold All,0.006835067,0.006668538,0.002198126,0.049442319,-0.000234088,0.000833399,0.0011689,0.000742346
Cold Female,0.023574235,0.00829553,0.0286832,0.06179358,-0.000158683,0.001043032,0.003054948,0.000923972
Cold Male,-0.01944776,0.01067084,-0.03886353,0.07880665,-0.000340827,0.001322937,-0.001776466,0.001187279
Age 0-10 All,0.0324797,0.03104958,0.46617873,0.2809603,0.001738784,0.003648764,0.004897924,0.003913971
Age 0-10 Female,0.000227185,0.041878484,0.1839031,0.3931456,0.004236444,0.004837835,-0.001199638,0.005291671
Age 0-10 Male,0.06049743,0.03951228,0.65786604,0.34756617,-0.000185532,0.004710504,0.01008638,0.004972765
Age 11-60 All,0.003954877,0.007494153,-0.02872561,0.06946367,1.28E-05,0.000885489,0.000375621,0.000938197
Age 11-60 Female,0.018227817,0.009310284,0.03189425,0.08624748,0.000552817,0.001106968,0.002124334,0.001164404
Age 11-60 Male,-0.02088172,0.01219498,-0.1344272,0.1132067,-0.000904293,0.001426726,-0.002655065,0.001530112
Age 60+All,0.008204106,0.012154232,0.09358302,0.11232188,0.000324635,0.001427121,0.002755812,0.001515054
Age 60+ Female,0.0123524,0.01602478,0.03863735,0.14886216,0.00015701,0.001879473,0.002912508,0.002000686
Age 60+ Male,0.002433606,0.018242205,0.1608144,0.1674813,0.00048743,0.00214432,0.002547802,0.002270228
All: LAG 10,0.004541425,0.006465437,0.07270298,0.05971253,0.000237676,0.000762215,0.000405448,0.000806444
Female,0.011588402,0.007979374,0.09901356,0.07374482,0.000338594,0.00094326,0.001635854,0.000993708
Male,-0.00643586,0.01016425,0.03223562,0.09379661,7.28E-05,0.001193396,-0.001518764,0.001270818
Warm All,0.001824346,0.006286739,0.10692965,0.07804419,0.000368973,0.000719817,-0.000284734,0.000879585
Warm Female,0.006843953,0.007685881,0.09150493,0.09513784,-0.000218439,0.000883897,0.000942603,0.001070684
Warm Male,-0.006055798,0.0097835,0.1306155,0.1218418,0.001281683,0.001112059,-0.002258044,0.001378407
Cold All,0.008873837,0.006701418,0.06272586,0.04966315,-0.000127409,0.000838053,0.000935118,0.00074328
Cold Female,0.018735948,0.008349693,0.11013385,0.06198013,0.000740476,0.001044933,0.002231216,0.000926679
Cold Male,-0.006512771,0.010669171,-0.01012659,0.07899941,-0.001496737,0.001332569,-0.001063756,0.001182007
Age 0-10 All,0.03114189,0.03099387,0.2926977,0.2838253,-0.000767139,0.003676279,0.003486798,0.003894768
Age 0-10 Female,-0.05255253,0.04192645,0.1922869,0.4000946,-0.002620845,0.004909956,-0.003901024,0.005334081
Age 0-10 Male,0.10032337,0.03930364,0.3707964,0.3486744,0.000529418,0.004706042,0.009515923,0.004891318
Age 11-60 All,0.0051492,0.007556211,0.06677739,0.06983943,0.00013497,0.000892351,0.00018696,0.000942193
Age 11-60 Female,0.019295984,0.009375492,0.15081066,0.08640731,0.000526463,0.001113312,0.002040978,0.001166767
Age 11-60 Male,-0.0195418,0.01231703,-0.0816375,0.1143361,-0.000528551,0.001441601,-0.003055394,0.00154157
Age 60+All,-0.000845002,0.012237904,0.05723104,0.11325482,0.000620272,0.001434837,0.000576235,0.00152649
Age 60+ Female,-0.004857545,0.016131914,-0.07394037,0.15002784,7.14E-06,0.001883863,0.001031055,0.002010095
Age 60+ Male,0.003715612,0.018331731,0.2235938,0.1686796,0.001287585,0.002160534,-4.50E-05,0.002289367
All: LAG 11,-0.002114593,0.006485374,0.02941094,0.06053571,-0.001080338,0.000757302,-0.00014111,0.00081066
Female,0.001644794,0.008019948,0.03834157,0.07457701,-0.000590016,0.000938228,0.000656009,0.001000526
Male,-0.00810733,0.01016706,0.01468594,0.09542106,-0.001841971,0.001184195,-0.001411146,0.001274588
Warm All,-0.003220422,0.006258949,0.09994045,0.07869131,-0.001529046,0.000708396,-0.000146591,0.000880474
Warm Female,-0.002380386,0.007662205,-0.01056384,0.09581731,-0.000939974,0.000871886,0.000553775,0.001073133
Warm Male,-0.004740881,0.009721259,0.27550248,0.1230619,-0.002439536,0.001092031,-0.001330603,0.001377197
Cold All,0.000553491,0.006784483,0.003499038,0.050521961,-0.000590722,0.000842441,-0.000181734,0.000750571
Cold Female,0.009488951,0.008482057,0.06587203,0.06280892,-0.000273723,0.001051353,0.000692473,0.000938001
Cold Male,-0.01329824,0.01072406,-0.09543862,0.08057292,-0.001058911,0.001335693,-0.001533352,0.001187281
Age 0-10 All,0.02416037,0.03124049,0.3828791,0.2871406,-0.003747772,0.003621901,0.00311733,0.003965615
Age 0-10 Female,-0.02407956,0.04165117,0.2831349,0.395579,-0.002799585,0.004782678,-9.08E-05,0.005342622
Age 0-10 Male,0.06717682,0.03999266,0.4730656,0.3585793,-0.004304109,0.004674176,0.006128028,0.005034663
Age 11-60 All,-0.00081846,0.007590657,0.02721271,0.07091672,-0.000933502,0.000886819,-0.000202934,0.000947288
Age 11-60 Female,0.009051127,0.009442094,0.12247246,0.08761073,-0.000632101,0.001108684,0.000980966,0.001174673
Age 11-60 Male,-0.01801493,0.01232671,-0.1436087,0.1164856,-0.001433605,0.00142831,-0.002298762,0.001546735
Age 60+All,-0.009299025,0.012227917,-0.01474311,0.1143773,-0.001130474,0.001428093,-0.000424764,0.00153199
Age 60+ Female,-0.01765033,0.01616531,-0.2474138,0.1514697,-0.000197181,0.001875016,-0.000201781,0.002028443
