Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 11-60 Female,0.008538,0.007154,0.046751,0.065070,0.001364,0.000845,0.000565,0.000888
Age 11-60 Male,-0.011449,0.006336,-0.024579,0.057261,0.000558,0.000750,-0.001380,0.000786
Age 60+All,0.004664,0.003760,0.018655,0.033902,0.000243,0.000446,0.000513,0.000465
Age 60+ Female,0.008602,0.004793,0.062135,0.043093,0.000421,0.000569,0.000770,0.000592
Age 60+ Male,0.000503,0.005125,-0.027736,0.046272,0.000059,0.000606,0.000239,0.000635
All: LAG 13,0.001329,0.003308,-0.018431,0.030037,0.000425,0.000396,0.000324,0.000408
Female,0.006727,0.004181,-0.000528,0.037902,0.000733,0.000500,0.000806,0.000516
Male,-0.003708,0.004235,-0.035472,0.038518,0.000139,0.000507,-0.000127,0.000523
Warm All,0.001161,0.004002,-0.036366,0.036378,0.000963,0.000508,0.000142,0.000493
Warm Female,0.003305,0.004653,-0.056844,0.042058,0.001622,0.000590,0.000311,0.000573
Warm Male,-0.000798,0.004658,-0.016911,0.042541,0.000349,0.000592,-0.000011,0.000574
Cold All,-0.001275,0.004144,0.013791,0.037425,-0.000330,0.000444,0.000367,0.000521
Cold Female,0.010719,0.005063,0.106201,0.045845,-0.000406,0.000543,0.001557,0.000636
Cold Male,-0.012765,0.005189,-0.074163,0.046745,-0.000246,0.000557,-0.000777,0.000652
Age 0-10 All,0.005340,0.031932,-0.218816,0.292723,0.003853,0.003734,0.000503,0.003975
Age 0-10 Female,0.065324,0.044277,0.021131,0.397000,0.006695,0.005245,0.006244,0.005532
Age 0-10 Male,-0.031932,0.038781,-0.359258,0.361086,0.001911,0.004495,-0.003099,0.004815
Age 11-60 All,-0.000562,0.005088,0.007987,0.046408,0.000066,0.000609,0.000063,0.000629
Age 11-60 Female,0.005200,0.007154,-0.006206,0.065320,0.000620,0.000854,0.000762,0.000884
Age 11-60 Male,-0.004921,0.006299,0.018112,0.057454,-0.000349,0.000756,-0.000471,0.000779
Age 60+All,0.002306,0.003756,-0.030886,0.033979,0.000587,0.000449,0.000459,0.000463
Age 60+ Female,0.007026,0.004786,0.002372,0.043217,0.000740,0.000572,0.000785,0.000590
Age 60+ Male,-0.002666,0.005118,-0.066628,0.046414,0.000427,0.000612,0.000114,0.000631
All: LAG 14,-0.002630,0.003293,-0.042595,0.030128,0.000614,0.000396,-0.000201,0.000406
Female,0.001464,0.004159,-0.003041,0.037921,0.000818,0.000500,0.000188,0.000513
Male,-0.006398,0.004216,-0.079666,0.038632,0.000423,0.000508,-0.000559,0.000519
Warm All,-0.002693,0.003972,-0.045744,0.036382,0.001190,0.000509,-0.000359,0.000488
Warm Female,0.001977,0.004609,-0.006362,0.041974,0.001509,0.000590,-0.000059,0.000567
Warm Male,-0.006985,0.004623,-0.082794,0.042539,0.000891,0.000594,-0.000632,0.000568
