Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 0-10 Male,-0.001741,0.040008,0.338732,0.336165,-0.004059,0.004846,0.001027,0.004943
Age 11-60 All,0.004001,0.003360,0.020662,0.030607,-0.000195,0.000401,0.000242,0.000416
Age 11-60 Female,-0.000115,0.004674,-0.014855,0.042334,-0.000524,0.000558,0.000232,0.000577
Age 11-60 Male,0.007562,0.004450,0.052036,0.040675,0.000091,0.000530,0.000243,0.000552
Age 60+All,0.000543,0.007348,-0.055114,0.067236,0.000522,0.000865,-0.000178,0.000916
Age 60+ Female,-0.003371,0.009877,-0.051820,0.090573,0.000595,0.001161,-0.000131,0.001232
Age 60+ Male,0.005324,0.010686,-0.058714,0.097540,0.000421,0.001260,-0.000222,0.001330
All: LAG 12,0.000404,0.003114,-0.010498,0.028466,0.000032,0.000369,-0.000053,0.000385
Female,0.001355,0.004252,0.007825,0.038804,-0.000144,0.000506,0.000027,0.000526
Male,-0.000479,0.004195,-0.027503,0.038370,0.000194,0.000496,-0.000129,0.000520
Warm All,0.002445,0.002863,0.005771,0.035796,0.000159,0.000328,0.000334,0.000397
Warm Female,0.000625,0.003920,-0.015044,0.048946,0.000282,0.000449,-0.000086,0.000543
Warm Male,0.004081,0.003989,0.024215,0.049856,0.000050,0.000456,0.000710,0.000552
Cold All,-0.001097,0.003421,-0.011465,0.024685,-0.000276,0.000432,-0.000424,0.000375
Cold Female,0.004582,0.004659,0.023322,0.033637,-0.000774,0.000590,0.000046,0.000511
Cold Male,-0.006375,0.004472,-0.043488,0.032250,0.000181,0.000563,-0.000864,0.000491
Age 0-10 All,-0.005132,0.034874,-0.000165,0.291293,0.008556,0.004254,0.000265,0.004273
Age 0-10 Female,0.015701,0.046705,0.097807,0.385258,0.011422,0.005634,-0.003748,0.005779
Age 0-10 Male,-0.015619,0.040320,-0.059053,0.339665,0.007356,0.004948,0.002460,0.004917
Age 11-60 All,0.001496,0.003361,-0.003201,0.030702,0.000167,0.000400,0.000016,0.000416
Age 11-60 Female,0.002264,0.004669,0.005443,0.042505,0.000043,0.000557,0.000057,0.000577
Age 11-60 Male,0.000806,0.004455,-0.011012,0.040785,0.000275,0.000528,-0.000024,0.000551
Age 60+All,-0.006034,0.007357,-0.055859,0.067847,-0.001078,0.000861,-0.000478,0.000918
Age 60+ Female,-0.003524,0.009845,0.019214,0.091235,-0.001331,0.001154,-0.000004,0.001224
Age 60+ Male,-0.008979,0.010752,-0.145445,0.098740,-0.000749,0.001257,-0.001064,0.001347
All: LAG 13,-0.001367,0.003114,-0.060876,0.028414,0.000941,0.000370,-0.000401,0.000384
Female,-0.002245,0.004249,-0.062173,0.038696,0.001209,0.000505,-0.000478,0.000524
Male,-0.000557,0.004199,-0.059706,0.038299,0.000697,0.000498,-0.000330,0.000519
Warm All,0.003182,0.002874,-0.050370,0.035580,0.000934,0.000330,0.000145,0.000395
