Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+ Female,-0.005010,0.008686,-0.000189,0.076295,0.001281,0.001028,-0.000393,0.001088
Age 60+ Male,-0.004758,0.009319,-0.004341,0.081454,0.000896,0.001101,-0.000199,0.001164
All: LAG 13,-0.010332,0.006052,-0.090462,0.054729,0.001266,0.000732,-0.000790,0.000752
Female,-0.011876,0.006601,-0.102413,0.059786,0.001605,0.000800,-0.000842,0.000820
Male,-0.008184,0.006636,-0.074529,0.059890,0.000824,0.000801,-0.000711,0.000824
Warm All,0.001309,0.005123,-0.038925,0.060781,0.000544,0.000603,0.000167,0.000706
Warm Female,0.000729,0.005711,-0.095098,0.067811,0.001291,0.000673,0.000257,0.000787
Warm Male,0.002261,0.005690,0.037148,0.067423,-0.000437,0.000667,0.000074,0.000785
Cold All,-0.021041,0.007153,-0.108306,0.051529,0.002480,0.000911,-0.001698,0.000790
Cold Female,-0.023455,0.007683,-0.096281,0.055385,0.002198,0.000980,-0.001912,0.000849
Cold Male,-0.017857,0.007775,-0.124518,0.055955,0.002859,0.000988,-0.001419,0.000858
Age 0-10 All,-0.017324,0.014519,-0.268628,0.134744,0.002039,0.001692,-0.002348,0.001828
Age 0-10 Female,-0.020927,0.020911,-0.219367,0.189839,0.003756,0.002425,-0.001760,0.002628
Age 0-10 Male,-0.014158,0.018860,-0.317772,0.178305,0.000660,0.002205,-0.002806,0.002379
Age 11-60 All,-0.003994,0.005281,-0.058437,0.047799,0.000445,0.000633,-0.000996,0.000656
Age 11-60 Female,-0.005978,0.006870,-0.030584,0.062196,0.000370,0.000822,-0.001377,0.000853
Age 11-60 Male,-0.001779,0.007196,-0.089403,0.065107,0.000542,0.000863,-0.000572,0.000894
Age 60+All,-0.013196,0.008189,-0.097366,0.073901,0.001670,0.000998,-0.000591,0.001017
Age 60+ Female,-0.014143,0.008611,-0.130410,0.077970,0.002098,0.001052,-0.000559,0.001070
Age 60+ Male,-0.011651,0.009238,-0.047512,0.082920,0.001028,0.001122,-0.000626,0.001145
All: LAG 14,-0.012530,0.006012,-0.103195,0.055089,0.001725,0.000734,-0.000562,0.000740
Female,-0.016330,0.006553,-0.123838,0.060081,0.001867,0.000801,-0.000787,0.000806
Male,-0.007429,0.006605,-0.075569,0.060475,0.001537,0.000805,-0.000258,0.000814
Warm All,-0.011026,0.005140,-0.174756,0.059997,0.001086,0.000609,-0.001458,0.000700
Warm Female,-0.016096,0.005732,-0.242483,0.066894,0.001055,0.000681,-0.001849,0.000781
Warm Male,-0.004215,0.005718,-0.083952,0.066760,0.001129,0.000675,-0.000932,0.000779
Cold All,-0.010910,0.006992,-0.055220,0.052159,0.002527,0.000901,0.000188,0.000771
Cold Female,-0.012695,0.007497,-0.050359,0.055934,0.002958,0.000966,0.000064,0.000826
Cold Male,-0.008535,0.007621,-0.061782,0.056842,0.001952,0.000982,0.000353,0.000841
Age 0-10 All,-0.013176,0.014440,-0.179610,0.134271,0.001060,0.001693,-0.002220,0.001808
Age 0-10 Female,-0.019129,0.020764,-0.191700,0.189252,0.001634,0.002433,-0.001435,0.002592
Age 0-10 Male,-0.008135,0.018785,-0.170159,0.177756,0.000607,0.002203,-0.002871,0.002358
Age 11-60 All,-0.010396,0.005288,-0.138366,0.047952,0.001434,0.000633,-0.000973,0.000655
Age 11-60 Female,-0.017128,0.006860,-0.143265,0.062257,0.000986,0.000820,-0.001526,0.000849
Age 11-60 Male,-0.002859,0.007229,-0.132739,0.065578,0.001938,0.000867,-0.000350,0.000895
Age 60+All,-0.013430,0.008106,-0.079104,0.074584,0.001951,0.001003,-0.000254,0.000994
Age 60+ Female,-0.015689,0.008529,-0.111018,0.078571,0.002332,0.001056,-0.000431,0.001045
Age 60+ Male,-0.009984,0.009140,-0.030420,0.083932,0.001371,0.001129,0.000018,0.001120
Air Pollutant:,AQHIX,,NO2,,O3H8,,SO2,
All: LAG 0,0.022275,0.004041,0.005187,0.000707,-0.000019,0.000467,0.003755,0.003651
Female,0.024777,0.004402,0.005628,0.000769,0.000126,0.000510,0.003870,0.003961
Male,0.018979,0.004442,0.004601,0.000778,-0.000206,0.000511,0.003619,0.004030
Warm All,0.015443,0.003373,0.004637,0.000727,0.000431,0.000336,0.011644,0.003789
Warm Female,0.018374,0.003760,0.005381,0.000808,0.000572,0.000376,0.010234,0.004213
