Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 11-60 All,0.000916,0.003796,0.014001,0.03367,-0.000035,0.000452,-0.000015,0.000471
Age 11-60 Female,0.001149,0.004205,0.02773,0.037388,-0.000178,0.000499,0.000008,0.000523
Age 11-60 Male,0.000398,0.005273,-0.016354,0.046493,0.00029,0.000632,-0.000064,0.000651
Age 60+All,-0.000773,0.005186,0.000558,0.044902,0.000097,0.000624,0.000201,0.000637
Age 60+ Female,-0.006036,0.005692,-0.030547,0.049655,-0.000524,0.000681,-0.000171,0.0007
Age 60+ Male,0.003123,0.006404,0.02269,0.055152,0.000579,0.000774,0.000463,0.000786
All: LAG 13,-0.002713,0.003746,-0.045221,0.03346,0.000741,0.000454,-0.00005,0.000461
Female,-0.003043,0.003856,-0.049201,0.034564,0.000459,0.000465,-0.000051,0.000475
Male,-0.00227,0.004829,-0.039826,0.042905,0.001164,0.000591,-0.000055,0.000592
Warm All,0.00577,0.00448,0.038319,0.052939,0.000276,0.000525,0.001227,0.00061
Warm Female,0.003607,0.00467,0.033278,0.055223,0.000112,0.000544,0.00096,0.000639
Warm Male,0.008857,0.006027,0.044189,0.071148,0.000521,0.000711,0.001587,0.000816
Cold All,-0.010839,0.006257,-0.077103,0.044763,0.001345,0.000805,-0.001088,0.000688
Cold Female,-0.009689,0.006386,-0.081682,0.045931,0.000891,0.000817,-0.000902,0.000703
Cold Male,-0.012353,0.007821,-0.07028,0.055514,0.002032,0.001016,-0.001345,0.000859
Age 0-10 All,0.010394,0.01113,-0.044971,0.101256,0.000502,0.001318,0.000664,0.001384
Age 0-10 Female,0.003112,0.016373,-0.003892,0.148406,-0.001164,0.001922,-0.000413,0.002046
Age 0-10 Male,0.015842,0.01501,-0.08165,0.136877,0.001891,0.001788,0.001453,0.00186
Age 11-60 All,-0.003989,0.003776,-0.057129,0.033919,0.000719,0.000455,-0.00018,0.000466
Age 11-60 Female,-0.005781,0.004186,-0.058865,0.037653,0.00052,0.000503,-0.000291,0.000517
Age 11-60 Male,0.000071,0.005232,-0.053029,0.046865,0.001173,0.000635,0.00007,0.000643
Age 60+All,-0.001637,0.005137,-0.025924,0.045375,0.000808,0.000631,0.000115,0.000628
Age 60+ Female,0.004067,0.005634,-0.027068,0.049994,0.000448,0.000687,0.000648,0.000689
Age 60+ Male,-0.005979,0.006349,-0.025214,0.055882,0.001093,0.000784,-0.000297,0.000776
All: LAG 14,-0.006882,0.003726,-0.024355,0.033517,0.000776,0.000457,-0.000157,0.000456
Female,-0.007523,0.003835,-0.050012,0.034661,0.000664,0.000466,-0.000309,0.000471
Male,-0.005985,0.004802,0.011715,0.042883,0.00095,0.000595,0.000051,0.000583
Warm All,-0.005228,0.004475,-0.026282,0.052231,0.000101,0.000531,-0.000244,0.000605
Warm Female,-0.00727,0.00466,-0.052402,0.054448,-0.000157,0.000549,-0.000443,0.000635
Warm Male,-0.002342,0.006025,0.010133,0.070221,0.000492,0.000724,0.000015,0.000807
Cold All,-0.006821,0.006176,-0.016491,0.045068,0.001596,0.0008,-0.000041,0.000679
Cold Female,-0.006637,0.006312,-0.041731,0.046358,0.001689,0.000813,-0.00018,0.000696
Cold Male,-0.007025,0.007698,0.018589,0.055631,0.001466,0.001005,0.000158,0.000841
Age 0-10 All,-0.011699,0.01111,-0.08889,0.10059,0.000096,0.001316,-0.000979,0.001377
Age 0-10 Female,-0.014296,0.016355,-0.072096,0.147441,-0.001149,0.00191,-0.0024,0.002051
Age 0-10 Male,-0.009627,0.014966,-0.100308,0.135983,0.001138,0.001794,0.000071,0.001839
Age 11-60 All,-0.005103,0.003756,-0.019867,0.033991,0.000498,0.000457,0.000003,0.000461
Age 11-60 Female,-0.007192,0.004161,-0.037013,0.037778,0.000581,0.000504,-0.000189,0.000512
Age 11-60 Male,-0.000373,0.005209,0.018266,0.046811,0.000306,0.000641,0.000431,0.000635
Age 60+All,-0.009416,0.005106,-0.026309,0.045417,0.001344,0.000634,-0.000344,0.000619
Age 60+ Female,-0.007688,0.005605,-0.082205,0.050018,0.001088,0.00069,-0.000437,0.000684
Age 60+ Male,-0.010741,0.006305,0.015209,0.055913,0.001549,0.000789,-0.000286,0.000761
Air Pollutant:,AQHIX,,NO2,,O3H8,,SO2,
