Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 11-60 Female,0.000695,0.002952,0.042744,0.026881,-0.000221,0.000355,0.000103,0.000369
Age 11-60 Male,-0.003534,0.002488,-0.007196,0.022962,-0.000202,0.000301,-0.000554,0.000312
Age 60+All,0.000069,0.003437,0.034803,0.031314,0.000208,0.000411,-0.000394,0.000430
Age 60+ Female,0.000390,0.004088,0.018984,0.037181,0.000232,0.000489,-0.000237,0.000511
Age 60+ Male,-0.000429,0.004748,0.059070,0.043332,0.000170,0.000566,-0.000637,0.000596
All:LAG 7,-0.000818,0.002064,-0.001804,0.019072,0.000266,0.000247,-0.000220,0.000259
Female,0.002259,0.002573,0.018295,0.023653,0.000327,0.000307,0.000014,0.000323
Male,-0.003321,0.002296,-0.018533,0.021326,0.000218,0.000276,-0.000411,0.000289
Warm All,-0.005150,0.002466,-0.075579,0.030293,0.000271,0.000290,-0.000508,0.000345
Warm Female,-0.005195,0.002945,-0.067093,0.036285,0.000194,0.000344,-0.000543,0.000412
Warm Male,-0.005098,0.002878,-0.082017,0.035328,0.000333,0.000339,-0.000476,0.000402
Cold All,0.004533,0.003508,0.039260,0.025067,0.000045,0.000443,0.000052,0.000387
Cold Female,0.011655,0.004474,0.065352,0.031969,0.000213,0.000564,0.000547,0.000494
Cold Male,-0.001542,0.003776,0.016895,0.026998,-0.000101,0.000478,-0.000369,0.000416
Age 0-10 All,0.001702,0.004107,-0.004555,0.038709,0.000702,0.000492,-0.000119,0.000520
Age 0-10 Female,0.005694,0.005694,0.063563,0.053395,0.000225,0.000683,0.000405,0.000721
Age 0-10 Male,-0.001200,0.005014,-0.054184,0.047485,0.001044,0.000600,-0.000498,0.000635
Age 11-60 All,-0.002145,0.002217,-0.004131,0.020453,0.000103,0.000266,-0.000287,0.000278
Age 11-60 Female,0.000572,0.002959,0.015051,0.027123,0.000170,0.000353,-0.000048,0.000371
Age 11-60 Male,-0.004034,0.002490,-0.017892,0.023092,0.000058,0.000300,-0.000452,0.000313
