G00-G99,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+ Male,0.000999543,0.013783309,0.1732447,0.1241876,-0.000791265,0.001627253,0.000138671,0.001713447
All: LAG 12,-0.003269702,0.005410792,0.006281747,0.048825014,-7.35573E-06,0.000634081,-0.000565932,0.00067416
Female,-0.001896088,0.006763279,-0.01271943,0.06091006,-0.000189679,0.000795205,-0.000154886,0.000841548
Male,-0.005330165,0.0080771,0.03546171,0.07310316,0.000257578,0.000941848,-0.001185215,0.001008354
Warm All,-0.012282795,0.005810505,-0.0542158,0.05274753,0.000450553,0.000723588,-0.00176244,0.000722467
Warm Female,-0.004784411,0.007007119,-0.06091343,0.06356962,0.000311334,0.000875065,-0.000357807,0.000869715
Warm Male,-0.023840946,0.008324346,-0.04342035,0.07561959,0.000671366,0.001031702,-0.003949531,0.001038158
Cold All,0.009227479,0.006114605,0.08546407,0.05452594,-0.000596524,0.000655322,0.000968718,0.000775788
Cold Female,0.000412285,0.007476124,0.04802944,0.06629456,-0.000899796,0.000801091,-0.000358979,0.000947771
Cold Male,0.021745307,0.008658137,0.14000034,0.07785495,-0.0001726,0.000928068,0.002872643,0.00109946
Age 0-10 All,0.02421384,0.02846025,-0.03449836,0.26048747,0.000314587,0.003295768,0.005565709,0.003536244
Age 0-10 Female,0.04535833,0.03863419,0.06922755,0.36210366,0.001698834,0.004443576,0.011777784,0.004749098
Age 0-10 Male,0.01005704,0.03698477,-0.0886282,0.3324583,-0.000786229,0.004306982,0.000865143,0.004652781
Age 11-60 All,-0.006262355,0.00628072,-0.01225642,0.05676973,-3.65278E-05,0.000735244,-0.001501588,0.000783014
Age 11-60 Female,-0.000554025,0.007955329,0.00341652,0.07167408,5.20197E-05,0.000936241,-0.000827247,0.000989467
Age 11-60 Male,-0.015726799,0.009890008,-0.03821142,0.0898829,-0.000186137,0.001148074,-0.002624779,0.001238548
Age 60+All,0.000516786,0.009272474,0.04909201,0.08326745,2.09684E-05,0.001090612,0.000868817,0.00115325
Age 60+ Female,-0.008568125,0.012209335,-0.05631128,0.10952226,-0.000917063,0.001434689,0.000556421,0.001522421
Age 60+ Male,0.01273393,0.01373388,0.1922141,0.1235629,0.001229696,0.001617081,0.001298103,0.001702692
All: LAG 13,-0.007579268,0.005386852,-0.01491464,0.0488181,-0.000252782,0.000637139,-0.000807797,0.000668721
Female,0.001806555,0.006736423,-0.003856355,0.060935041,0.000827567,0.00079977,1.41702E-05,0.000834336
