Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 11-60 Male,-0.002204,0.002490,-0.031967,0.039821,0.000255,0.000538,-0.000340,0.000550
Age 60+All,0.001140,0.003430,-0.043403,0.043120,0.000721,0.000577,0.000355,0.000586
Age 60+ Female,-0.000391,0.004082,-0.052560,0.049691,0.000299,0.000666,0.000256,0.000674
Age 60+ Male,0.002890,0.004739,-0.033112,0.052242,0.001200,0.000698,0.000467,0.000712
All: LAG 8,0.000453,0.002067,0.002962,0.032291,0.000230,0.000434,-0.000148,0.000442
Female,-0.001655,0.002577,-0.006177,0.036404,0.000299,0.000489,-0.000471,0.000499
Male,0.002723,0.002297,0.012743,0.035732,0.000156,0.000481,0.000199,0.000489
Warm All,0.006541,0.002469,0.058987,0.036187,0.000427,0.000360,0.000812,0.000421
Warm Female,0.003222,0.002959,0.010288,0.041704,0.000557,0.000414,0.000265,0.000485
Warm Male,0.010122,0.002878,0.111055,0.041324,0.000287,0.000411,0.001400,0.000479
Cold All,-0.006457,0.003509,-0.019121,0.030334,-0.000302,0.000529,-0.000875,0.000459
Cold Female,-0.007301,0.004476,-0.009324,0.033685,-0.000372,0.000588,-0.001014,0.000510
Cold Male,-0.005549,0.003763,-0.029594,0.032833,-0.000227,0.000573,-0.000726,0.000497
Age 0-10 All,0.000435,0.004116,-0.000386,0.062799,0.000083,0.000892,0.001112,0.000899
Age 0-10 Female,-0.006950,0.005714,-0.065551,0.090981,0.000280,0.001299,0.000171,0.001319
Age 0-10 Male,0.005967,0.005019,0.050143,0.081946,-0.000067,0.001161,0.001806,0.001163
Age 11-60 All,-0.001193,0.002220,-0.012103,0.034451,0.000298,0.000462,-0.000512,0.000472
Age 11-60 Female,-0.003615,0.002960,-0.018212,0.040795,0.000541,0.000545,-0.000951,0.000558
Age 11-60 Male,0.001392,0.002490,-0.005639,0.039942,0.000037,0.000537,-0.000042,0.000548
Age 60+All,0.003202,0.003438,0.028759,0.043169,0.000151,0.000576,0.000205,0.000584
Age 60+ Female,0.002347,0.004089,0.024677,0.049633,-0.000086,0.000664,0.000200,0.000672
Age 60+ Male,0.004179,0.004749,0.033109,0.052516,0.000422,0.000697,0.000209,0.000710
All: LAG 9,-0.005973,0.002073,-0.016824,0.032201,-0.000099,0.000432,-0.000694,0.000445
Female,-0.006586,0.002590,-0.013871,0.036288,-0.000316,0.000487,-0.000803,0.000502
Male,-0.005310,0.002301,-0.019914,0.035684,0.000134,0.000478,-0.000576,0.000492
Warm All,0.000201,0.002486,0.036107,0.036892,-0.000284,0.000360,-0.000116,0.000426
Warm Female,-0.001006,0.002986,-0.011868,0.042436,-0.000294,0.000414,-0.000315,0.000491
Warm Male,0.001510,0.002890,0.087936,0.042318,-0.000272,0.000411,0.000097,0.000486
Cold All,-0.012625,0.003494,-0.039319,0.029999,0.000131,0.000529,-0.001134,0.000459
Cold Female,-0.012791,0.004467,-0.014581,0.033321,-0.000388,0.000588,-0.001168,0.000511
Cold Male,-0.012401,0.003748,-0.065659,0.032426,0.000685,0.000572,-0.001095,0.000496
Age 0-10 All,-0.004976,0.004122,-0.051307,0.062923,0.002102,0.000891,-0.000391,0.000904
Age 0-10 Female,-0.007787,0.005728,-0.075702,0.090865,0.001896,0.001302,-0.000509,0.001323
Age 0-10 Male,-0.002907,0.005025,-0.032977,0.082256,0.002263,0.001156,-0.000321,0.001170
Age 11-60 All,-0.006489,0.002227,-0.039260,0.034323,0.000123,0.000460,-0.000882,0.000474
Age 11-60 Female,-0.007441,0.002974,-0.047321,0.040656,0.000156,0.000543,-0.001106,0.000561
Age 11-60 Male,-0.005468,0.002497,-0.030551,0.039820,0.000085,0.000535,-0.000643,0.000551
Age 60+All,-0.005263,0.003451,0.028554,0.043106,-0.000891,0.000572,-0.000441,0.000588
Age 60+ Female,-0.004886,0.004113,0.051795,0.049569,-0.001420,0.000661,-0.000351,0.000679
Age 60+ Male,-0.005691,0.004755,0.001016,0.052571,-0.000281,0.000693,-0.000544,0.000714
