Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 12,0.007287,0.005153,-0.013894,0.045258,-0.000695,0.000613,0.000059,0.000635
Female,0.005082,0.006562,-0.041109,0.057814,-0.001275,0.000780,0.000144,0.000807
Male,0.009489,0.006610,0.012741,0.057866,-0.000124,0.000787,-0.000021,0.000816
Warm All,0.004314,0.005221,-0.107055,0.045552,0.000925,0.000659,-0.000739,0.000644
Warm Female,0.004728,0.006456,-0.118323,0.056649,0.000398,0.000817,-0.000557,0.000793
Warm Male,0.003972,0.006429,-0.096225,0.055842,0.001433,0.000809,-0.000906,0.000796
Cold All,0.012505,0.006239,0.173864,0.055042,-0.002806,0.000667,0.001764,0.000780
Cold Female,0.002717,0.007736,0.088145,0.068239,-0.003428,0.000825,0.001098,0.000968
Cold Male,0.022541,0.007884,0.262375,0.069611,-0.002174,0.000848,0.002454,0.000986
Age 0-10 All,0.017573,0.008980,-0.025038,0.074262,-0.000679,0.001076,0.001203,0.001093
Age 0-10 Female,0.002843,0.012495,-0.237151,0.103358,-0.000277,0.001491,0.000423,0.001519
Age 0-10 Male,0.028668,0.010982,0.134277,0.090708,-0.000968,0.001320,0.001794,0.001338
Age 11-60 All,0.003048,0.006335,-0.013084,0.057044,-0.000705,0.000752,-0.000302,0.000784
Age 11-60 Female,0.005475,0.008199,0.036205,0.073740,-0.001731,0.000973,0.000047,0.001010
Age 11-60 Male,0.000476,0.008544,-0.065524,0.077022,0.000373,0.001013,-0.000678,0.001062
Age 60+All,0.001722,0.011218,0.020013,0.103355,-0.000758,0.001331,-0.000943,0.001399
Age 60+ Female,0.007841,0.014528,0.082704,0.133332,-0.001389,0.001728,0.000194,0.001808
Age 60+ Male,-0.006974,0.016853,-0.066010,0.156094,0.000008,0.001991,-0.002543,0.002107
All: LAG 13,0.001973,0.005160,-0.034929,0.045030,-0.001020,0.000613,-0.000195,0.000637
Female,0.000840,0.006547,-0.030836,0.057369,-0.001238,0.000778,-0.000180,0.000807
Male,0.003087,0.006641,-0.039131,0.057715,-0.000803,0.000790,-0.000209,0.000820
Warm All,-0.004290,0.005223,-0.120692,0.045399,0.000065,0.000660,-0.001218,0.000645
Warm Female,-0.002256,0.006446,-0.075324,0.056352,-0.000042,0.000814,-0.000982,0.000794
Warm Male,-0.006293,0.006442,-0.164280,0.055718,0.000173,0.000813,-0.001444,0.000798
Cold All,0.012579,0.006244,0.138742,0.054704,-0.002435,0.000670,0.001803,0.000782
Cold Female,0.003632,0.007703,0.042131,0.067598,-0.002752,0.000828,0.000880,0.000966
Cold Male,0.021913,0.007927,0.239460,0.069314,-0.002118,0.000851,0.002762,0.000992
Age 0-10 All,0.011132,0.009031,-0.007636,0.073714,-0.002474,0.001074,0.000844,0.001101
Age 0-10 Female,0.007481,0.012502,-0.039001,0.102630,-0.002746,0.001486,0.000441,0.001522
Age 0-10 Male,0.014016,0.011083,0.015869,0.090065,-0.002248,0.001320,0.001164,0.001354
Age 11-60 All,-0.003648,0.006342,-0.078465,0.056853,-0.000087,0.000753,-0.000895,0.000787
Age 11-60 Female,-0.001945,0.008188,-0.041173,0.073069,-0.000104,0.000971,-0.000668,0.001015
Age 11-60 Male,-0.005464,0.008564,-0.118911,0.077161,-0.000071,0.001018,-0.001140,0.001064
Age 60+All,0.003306,0.011233,0.063124,0.103650,-0.001498,0.001342,0.000240,0.001391
Age 60+ Female,-0.000395,0.014521,0.015886,0.134250,-0.002590,0.001741,0.000507,0.001793
Age 60+ Male,0.008459,0.016918,0.128192,0.155690,-0.000062,0.002011,-0.000114,0.002104
All: LAG 14,-0.001426,0.005175,-0.058715,0.044850,-0.000468,0.000612,-0.000470,0.000637
Female,0.006948,0.006563,0.007882,0.056829,-0.000373,0.000777,0.000251,0.000807
Male,-0.009699,0.006657,-0.124709,0.057754,-0.000567,0.000787,-0.001182,0.000820
Warm All,-0.004554,0.005229,-0.094495,0.045144,-0.000329,0.000659,-0.000800,0.000645
Warm Female,0.008880,0.006437,0.022333,0.055556,0.000390,0.000814,0.000417,0.000792
Warm Male,-0.017569,0.006453,-0.207787,0.055751,-0.001018,0.000812,-0.001994,0.000798
Cold All,0.005102,0.006275,0.004590,0.054755,-0.000601,0.000670,0.000295,0.000781
Cold Female,0.003806,0.007752,-0.014450,0.067524,-0.001297,0.000827,0.000047,0.000966
Cold Male,0.006438,0.007953,0.024447,0.069514,0.000115,0.000849,0.000553,0.000989
Age 0-10 All,0.011101,0.009046,-0.024446,0.073157,-0.000600,0.001071,0.000890,0.001100
Age 0-10 Female,0.014286,0.012473,0.006288,0.100202,0.000288,0.001483,0.000938,0.001516
Age 0-10 Male,0.008619,0.011133,-0.048726,0.090474,-0.001288,0.001314,0.000853,0.001355
Age 11-60 All,-0.009203,0.006370,-0.092275,0.056707,-0.000955,0.000752,-0.001209,0.000788
Age 11-60 Female,0.004205,0.008235,0.012212,0.072830,-0.001266,0.000971,-0.000144,0.001018
Age 11-60 Male,-0.023341,0.008575,-0.204961,0.076889,-0.000620,0.001016,-0.002341,0.001063
Age 60+All,0.000587,0.011230,-0.021464,0.103895,0.001613,0.001334,-0.000591,0.001391
Age 60+ Female,0.004038,0.014551,-0.008433,0.134191,0.001551,0.001729,0.000472,0.001789
Age 60+ Male,-0.004138,0.016904,-0.038789,0.157042,0.001675,0.002006,-0.002085,0.002114
Air Pollutant:,AQHIX,,NO2,,O3H8,,SO2,
All: LAG 0,-0.018662,0.003471,-0.003266,0.000601,-0.001032,0.000399,-0.007107,0.003152
Female,-0.015211,0.004427,-0.002767,0.000766,-0.000727,0.000509,-0.007976,0.004032
Male,-0.022065,0.004471,-0.003757,0.000774,-0.001331,0.000513,-0.006264,0.004036
Warm All,-0.020173,0.003564,-0.003347,0.000618,-0.001342,0.000412,-0.006956,0.002812
Warm Female,-0.017837,0.004427,-0.002822,0.000767,-0.001345,0.000512,-0.008515,0.003495
Warm Male,-0.022441,0.004398,-0.003854,0.000762,-0.001343,0.000508,-0.005493,0.003459
Cold All,-0.016033,0.004118,-0.003141,0.000709,-0.000463,0.000464,-0.009397,0.005804
Cold Female,-0.010119,0.005087,-0.002569,0.000876,0.000337,0.000573,-0.001634,0.007150
