OrdO,Health,Lag,AP,BETA,SEBETA,PVALUE,Sign,SignP,,,,,,,,,,,,,,,,
339,MenM,8,EAQHI,-0.00128912,0.004155413,0.756408148,0,0,,,,,,,,,,,,,,,,
459,MenAW,8,EAQHI,0.003621094,0.002822915,0.199670076,0,0,,,,,,,,,,,,,,,,
579,MenFW,8,EAQHI,-0.0013891,0.003878286,0.720236407,0,0,,,,,,,,,,,,,,,,
699,MenMW,8,EAQHI,0.008136792,0.003914714,0.037739243,1,1,,,,,,,,,,,,,,,,
819,MenAC,8,EAQHI,-0.006026143,0.003394913,0.075981979,0,0,,,,,,,,,,,,,,,,
939,MenFC,8,EAQHI,0.002759694,0.004628521,0.551058094,0,0,,,,,,,,,,,,,,,,
1059,MenMC,8,EAQHI,-0.014199113,0.004441073,0.001400713,-1,0,,,,,,,,,,,,,,,,
1179,MenMF10,8,EAQHI,-0.006367869,0.034319564,0.852811993,0,0,,,,,,,,,,,,,,,,
1299,MenF10,8,EAQHI,-0.02603779,0.0458159,0.56986089,0,0,,,,,,,,,,,,,,,,
1419,MenM10,8,EAQHI,0.005766327,0.039744828,0.884653668,0,0,,,,,,,,,,,,,,,,
1539,MenMF60,8,EAQHI,-0.000588046,0.003334066,0.860010107,0,0,,,,,,,,,,,,,,,,
1659,MenF60,8,EAQHI,0.003027263,0.004631315,0.513382505,0,0,,,,,,,,,,,,,,,,
1779,MenM60,8,EAQHI,-0.003752311,0.00441773,0.395734365,0,0,,,,,,,,,,,,,,,,
1899,MenMF61,8,EAQHI,0.000433808,0.007251735,0.952301599,0,0,,,,,,,,,,,,,,,,
2019,MenF61,8,EAQHI,-0.012239821,0.009731498,0.208570363,0,0,,,,,,,,,,,,,,,,
2139,MenM61,8,EAQHI,0.01602054,0.01055337,0.1290977,0,0,,,,,,,,,,,,,,,,
100,MenA,9,EAQHI,-0.003878338,0.003094749,0.21022215,0,0,,,,,,,,,,,,,,,,
220,MenF,9,EAQHI,-0.00639725,0.004221378,0.129756822,0,0,,,,,,,,,,,,,,,,
340,MenM,9,EAQHI,-0.00157327,0.004172151,0.706132128,0,0,,,,,,,,,,,,,,,,
460,MenAW,9,EAQHI,-0.000134267,0.002854244,0.96248324,0,0,,,,,,,,,,,,,,,,
580,MenFW,9,EAQHI,-0.004719217,0.003903522,0.226763685,0,0,,,,,,,,,,,,,,,,
700,MenMW,9,EAQHI,0.003995776,0.003967138,0.313903748,0,0,,,,,,,,,,,,,,,,
820,MenAC,9,EAQHI,-0.008397689,0.003382127,0.013079044,-1,0,,,,,,,,,,,,,,,,
940,MenFC,9,EAQHI,-0.008405595,0.004609504,0.068313014,0,0,,,,,,,,,,,,,,,,
1060,MenMC,9,EAQHI,-0.008394504,0.004429606,0.058168008,0,0,,,,,,,,,,,,,,,,
1180,MenMF10,9,EAQHI,-0.01605091,0.03449499,0.64173929,0,0,,,,,,,,,,,,,,,,
1300,MenF10,9,EAQHI,-0.06619789,0.04652725,0.15489575,0,0,,,,,,,,,,,,,,,,
1420,MenM10,9,EAQHI,0.01105664,0.03972676,0.78078631,0,0,,,,,,,,,,,,,,,,
1540,MenMF60,9,EAQHI,-0.003406294,0.003343748,0.308417812,0,0,,,,,,,,,,,,,,,,
1660,MenF60,9,EAQHI,-0.00189425,0.004636458,0.682892483,0,0,,,,,,,,,,,,,,,,
1780,MenM60,9,EAQHI,-0.004746267,0.004434579,0.284569192,0,0,,,,,,,,,,,,,,,,
1900,MenMF61,9,EAQHI,-0.006126992,0.007285781,0.400435992,0,0,,,,,,,,,,,,,,,,
2020,MenF61,9,EAQHI,-0.027891385,0.00978602,0.004397399,-1,0,,,,,,,,,,,,,,,,
2140,MenM61,9,EAQHI,0.02037404,0.0105937,0.05453835,0,0,,,,,,,,,,,,,,,,
101,MenA,10,EAQHI,0.000557706,0.003107228,0.85756665,0,0,,,,,,,,,,,,,,,,
221,MenF,10,EAQHI,-0.005085029,0.004240521,0.230555229,0,0,,,,,,,,,,,,,,,,
341,MenM,10,EAQHI,0.005728441,0.004186481,0.171305779,0,0,,,,,,,,,,,,,,,,
461,MenAW,10,EAQHI,0.000682472,0.002869191,0.81200276,0,0,,,,,,,,,,,,,,,,
581,MenFW,10,EAQHI,-0.003500147,0.003930588,0.373268315,0,0,,,,,,,,,,,,,,,,
701,MenMW,10,EAQHI,0.0044667,0.003992632,0.263334629,0,0,,,,,,,,,,,,,,,,
821,MenAC,10,EAQHI,0.000951797,0.003392798,0.779085062,0,0,,,,,,,,,,,,,,,,
941,MenFC,10,EAQHI,-0.006532767,0.0046166,0.157145541,0,0,,,,,,,,,,,,,,,,
1061,MenMC,10,EAQHI,0.007940625,0.004441085,0.073869309,0,0,,,,,,,,,,,,,,,,
1181,MenMF10,10,EAQHI,-0.002129172,0.034351577,0.950581115,0,0,,,,,,,,,,,,,,,,
1301,MenF10,10,EAQHI,-0.0702159,0.04638172,0.13015489,0,0,,,,,,,,,,,,,,,,
1421,MenM10,10,EAQHI,0.03263105,0.03959745,0.40995987,0,0,,,,,,,,,,,,,,,,
1541,MenMF60,10,EAQHI,0.00056167,0.003354926,0.867052533,0,0,,,,,,,,,,,,,,,,
1661,MenF60,10,EAQHI,-0.00333491,0.004655603,0.473843584,0,0,,,,,,,,,,,,,,,,
1781,MenM60,10,EAQHI,0.003960266,0.004449983,0.373557446,0,0,,,,,,,,,,,,,,,,
